2026-07-06 08:04:15.711 | WARNING  | modules.autoposter:generate_post:240 - Не удалось получить новости, откат к стандартным рубрикам
2026-07-06 08:04:15.712 | INFO     | modules.autoposter:generate_post:261 - Сгенерирован скрытый шифр для поста: ROOT-766 на 189 ✨
2026-07-06 08:04:15.714 | INFO     | modules.autoposter:generate_post:282 - Генерация поста: <AsyncMock name='mock.autoposter.get_least_recent_rubric()' id='140458586125664'>, персонаж rasputin, тема 'Почему ты ищешь одобрения у тех, кто тебя не понимает?'
2026-07-06 08:04:15.720 | INFO     | modules.autoposter:handle_diagnosis_comment:82 - Получен запрос на вскрытие от 12345 под постом 67890: 01.01.1990
2026-07-06 08:04:18.724 | ERROR    | modules.autoposter:handle_diagnosis_comment:95 - Ошибка получения скина из Redis: Request URL is missing an 'http://' or 'https://' protocol.
2026-07-06 08:04:21.798 | SUCCESS  | modules.utils.pdf:generate_premium_pdf:80 - PDF успешно создан: test_output.pdf
2026-07-06 08:04:21.809 | SUCCESS  | modules.utils.docs:upload_pdf_to_vk:72 - Документ palmistry.pdf успешно загружен в ВК (попытка 1): doc27260796_702463127_test_access_key
2026-07-06 08:04:21.818 | SUCCESS  | modules.utils.docs:upload_pdf_to_vk:72 - Документ test.pdf успешно загружен в ВК (попытка 1): doc654321_123456
2026-07-06 08:04:21.831 | WARNING  | main:verify_vk_signature:81 - Signature mismatch! Expected (computed): 380btVrMzeEKKPp9EUHus1aZAKt3qY5s7uxCGFTRpbU | Received from VK: bHJNPfXXy1JFG2WQCmn-5VAw7TpzmaPuxNnhuan1Spg
2026-07-06 08:04:21.875 | INFO     | modules.autoposter:generate_post:261 - Сгенерирован скрытый шифр для поста: PROXY-743 на 148 ✨
2026-07-06 08:04:21.876 | INFO     | modules.autoposter:generate_post:282 - Генерация поста: PROVOCATION, персонаж kaliostro, тема 'Что делать, если твой близкий человек тормозит твой рост?'
2026-07-06 08:04:21.881 | INFO     | modules.autoposter:generate_post:261 - Сгенерирован скрытый шифр для поста: PROXY-648 на 159 ✨
2026-07-06 08:04:21.881 | INFO     | modules.autoposter:generate_post:282 - Генерация поста: PROVOCATION, персонаж cherevatov, тема 'Энергия успеха: что заставляет её блокироваться?'
